Date,Ip,Name,Comment,Link
2021-03-10 10:07:20,2cfuun73,Asta,"Pastoviai buvau labai patenkinta maksima. Atėjo didelis nusivylimas. Pirmame puslapyje išreklamuota jau kurį laiką, kad perkant už 30 eurų pirkėjui priklauso kažkokia tai prekė už 1 cnt. Šią savaitę tai yra čipsai 215 gr. Bet tai juk žmonių mulkinimas! Atvykus namo ir peržvelgus lankstinuką tai pamačiau. Paskambinus maksimos telefonu buvo paaiškinta, kad tų čipsų jau nebeatgausiu, kad reikėjo jį įsidėti į krepšelį. Tai palaukit, taip išeina, kad apsiperkant reikia nešiotis skaičiavimo mašinėlę ir skaičiuotis, ar gausis ta suma ar ne? Norit prisiviliot pirkėjus juos mulkindami? Esu užtikrinta, kad ne aš viena taip nukentėjau. GĖDA MAKSIMAI!",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-09 20:31:24,2ju3l00l,Ričardas,Dirba ištisai arba kasa iki 3 prekių arba savitarna.,https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-06 17:43:25,2e7r451j,Erika,"Dingo mano visi sukaupti ačiū kortelėje eurai. Maxima be jokio perspėjimo juos nurašė. Paaiškėjo, kartą metuose visoms kortelėms yra daromi tokie nurašymai. Demotyvuoja! Visų metų sukaupti ačiū korteles pinigai grįžo pačiai maximai atgal! : (",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-06 14:28:02,28mbvqk4,vytautas krupenas,"2021 03 06 Maksimoje Savanorių prospekte247. 12val 35 min. 08s. Pirkau fasuotas atšaldytas kiaulių kojas mokėjau 1.88 euro. Kvitas 35/679. Parsinešiau namo atidariau pakuotę Kvapas neįmanomas. Gaminys smirdantis, priverstas buvau išnešti ir išmesti nes neįmanoma laikyti virtuvėje.",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-06 01:34:54,28mer8bq,Dalia,"Ar tai dėl to yra daromos akcijos, kad sukirmijusius riešutus parduoti?",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-04 22:34:31,28mattjp,Jevgenija,"Suprantu kad kai kuriems pirkejams labai patogios savitarnos kasos, bet kai eini prie kasos su pilnų vežimų, ir apart savitarnos, kitos uždarytos......tenka palikti vežimą ir keliauti į kitą parduotuvė, kur tikrai žinai kad tave aptarnaus.
Maxima-apie nieko nepagalvota.Tai bent užrašykite nors prie iėjimo kokiomis valandomis aptarnauja paprastą kasą.Kad negaišti veltui laiko.......
Pagirių Maxima, apie 14 val.",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-03 09:14:51,28mcq479,INGA,"pagedo visiškai MAXIMA, o buvo pati geriausia parduotuvė Šilutėje. pardavejai nemandagūs, jei ko paklausi, tai iškošia per dantis atsakymą lyg didžiausią paslaugą darytų. Svarbiausia kad prekes, kur reklamuoja akcijose, neįmanoma rasti, nes jos dar neatvežtos. Mėsos akcija nuo antradienio, bet rasti dažniausiai gali tik penktadienį. Jei gyveni Šilutėje, tai gali ateiti ir kiekvieną dieną, o jei per karantiną atvažiuoji iš toliau ir kartą per mėn., ir dar su samdytu transportu, ir nerandi pirkt ką reklamuoja. Tiesiog puiki aptarnavimo sistema MAXIMOJ, O IR KAINOS NENUSILEIDŽIA RIMI IR IKI PARDUOTUVĖMS. Gal sakau savininkas pasikeitė, kad taip pasikeitė parduotuvė.",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-03-02 21:27:06,28mbvnji,Irena,Jau 3 ar 4 karta akcija Pols sureliams Mazose parduotuvese tik etiketeje uzdeta 4 rusiu Kur tos 4 rusys?Kam apgaudineti pirkejus? Tikrai nesuprantu Rasykite 2 rusiu plombirinio ir citrininio skonio Jums pirkejai ir tokie bus gerai Arba stumdykites didziosiose Maximose karantino metu ir nusipirksite 4 rusiu,https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-28 12:01:14,28met104,Ruta,Alytus Naujoji 90 gatvė maxima teko apsipirkinėti kelis kartus informacijos skyriuje ir vis dirbo ta pati pardavėja Lina labai mandagi esu maloniai nustebinta tokiu šauniu ir mandagiu pardavėjos elgesiu ir aptarnavimas. Labai norėčiau kad tokiu mandagių ir gerų pardavėjų būtų daugiau.,https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-26 18:46:40,2i2428kh,Olga,"Maxima XX Raudondvario pl. 284a, visišką tragedija. Apsipirkti neįmanoma, visur prikrauta prekių, praeiti neimanoma. Kasos savitatnoje nespeji apsipirkti, o jau kiti pirkėjai kraunasi ant galvos. Niekas nesilaiko saugaus atstumo. Ir darbuotojai nekreipia į tai dėmesio. Visiškas haosas!!!",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-26 06:38:52,2fc3n29a,Virginija,"Tas pats įvyko su DOVANA už 1cnt...Gerbiamieji, tai tik atbaido nuo Jūsų centro...Klaipėdoj BIGo Maximoj vasaio 26d. pamainos VADOVĖ RENATA...apšaukė, nusišnekėjo...Baisu ir tai tik vercia ieškotis kito centro....nors kasininkas Igoris puikus ir situaciją bandė ištaisyti Direktorė, , , Deja, nuotaika šlykšti.
Pagarbiausiai kasdienė lankytoja",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-25 15:10:46,5juc08gc,Tatjana,"2021-02-20 d. 13:52 val. pirkau plokštainų su vyšnių įdaru maximoje, Pramonės pr. 29, Kaune. Pardavėja, vardo nepavyko įskaityti, nežino elementariu mandagumo taisykliu. Piktai bendrauja, apšaukė, kodėl nepasižiūrėjau jau pasvertos prekės. Atsakiau, kad žiūrėjau, bet tokios kokios noriu ten nėra. Tai piktai atsakė, kad tuoj pasvers. Gal reikėtu pardavėjai bendravimo su klijentais pasimokyti, jei dirba tokį darbą. Ar skaitosi normalus bendravimas?",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-23 19:41:17,2e7r427o,Vida,"Kretingos Maximoje-Rotušės aikštė 15 nusipirkus įmonės gamintų kakavinių keksiukų vaikui bevalgant aptikome plastikinę šukę-nemalonų darinį vaikas pajautė burnoje, valgydamas.Man įdomu kokių priemonių žada imtis atsakingi už maisto kokybę įmonės darbuotojai kad tokie atvejai nepasikartotų apart atsiprašymo?Perduota maisto veterinarinei tarnybai, būkite arsargūs pirkdami Maximos kepinius.",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-21 15:21:33,2i2k38i9,Aira,"Esu pasibaisejus naujininku maxima, sitoacija tokia, apsipirkinejau su vaiku priejau prie kasos deduosi prekes ir pribega kazkoks nedekvatus zmogus, salia mano prekiu numeta savo du bambalius.. Graziai atsisukus pasakiau ponas laikykites atstumo.. Tai sulaukiau tokiu zodziu kad likau apsalusi koks ilgas zmogaus liežuvis, rekavo taip kad visi tuo momentu buve žmonės tikrai girdejo, klausimas man vienas ka veikia apsaugos darbuotojai ir ten dirbantys žmonės, visiškai jokios reakcijos i uzgauliojimus, tai kaip suprantu tokiems žmonėms viskas galima?!!!! Atkreipkit dėmesį i savo darbuotojus, nes visiškai nusispjaut i pirkėjus.. 9",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-19 22:49:28,2ju3l1sh,Ausra,"Sveiki. Norėčiau pasidomėti, kokie ten ""proto bokštai"" sumąsto tokias akcijas, kaip ""Su ačiū beiveik už ačiū""? Kai, su ačiū kortele perki už 30e ar daugiau ir už 1cnt gauni prekę. Kiek teko aiškintis, supratau, jog už šią akciją atsakingas tik pirkėjas, pardavėjai už sužiūrėjimą neatsako! Kad lipdukai priklauso mato, o kad šokoladas ne. Jeigu, pats nesusižiūri, tai tavo problemos, šokolado ir negauni. O, jeigu vėliau kreipiesi su kvitu, pirkėjų akivaizdoje, lieki apkaltintas priekabiavimu. Taip, ir dingsta noras, dar kartą sugrįžti pagrindiniams pirkėjams.Grynas pardavėjų ir pirkėjų ""kiršinimas"" tokios akcijos. Kažin ar daug pirkėjų taip prisivilios, , greičiau, tik Maximos lygis gerokai nukris!",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
2021-02-18 09:19:15,2e7r4540,Darius,"Gerb.maximos vadovai, sutvarkikyt pagaliau maximos virsuliskese pozemine aikstele!!!! Padarykyt kontroliuojama ivaziavima ir isvaziavima, visa ziema neimanoma atvaziavus apsipirkti, pastatyti automobili, aplinkiniu namu gyventojai pasidare sau nemokamas aiksteles!!! O pirkejai negali pasinaudoti aiksttele!!!! Jei taip ir toliau bus, teks keisti prekybos tinkla, ir tai ne mano vieno nuomone!!!! Su pagarba!!!!!",https://rekvizitai.vz.lt/imone/maxima_lt_uab/atsiliepimai/1
